3,"SELECT ph.ra, ph.dec     From PhotoObj ph, MyDB.redmapper1 as p, dbo.fGetNearbyObjAllEq(p.ra, p.#dec, p.#SearchRadius) INTO MyDB.redmappermatch1    where    ph.petroMag_i< p.#i"
2019-05-29 17:10:00,2
2019-05-29 17:11:00,1
