3857,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&, cropPath = &&&                         WHERE Path = &&&"
2019-05-29 02:09:00,13
2019-05-29 02:10:00,29
2019-05-29 02:11:00,29
2019-05-29 02:12:00,26
2019-05-29 02:13:00,28
2019-05-29 02:14:00,28
2019-05-29 02:15:00,21
2019-05-29 02:16:00,25
2019-05-29 02:17:00,29
2019-05-29 02:18:00,30
2019-05-29 02:19:00,27
2019-05-29 02:20:00,30
2019-05-29 02:21:00,29
2019-05-29 02:22:00,30
2019-05-29 02:23:00,29
2019-05-29 02:24:00,30
2019-05-29 02:25:00,28
2019-05-29 02:26:00,26
2019-05-29 02:27:00,29
2019-05-29 02:28:00,29
2019-05-29 02:29:00,29
2019-05-29 02:30:00,29
2019-05-29 02:31:00,28
2019-05-29 02:32:00,28
2019-05-29 02:33:00,30
2019-05-29 02:34:00,29
2019-05-29 02:35:00,27
2019-05-29 02:36:00,19
2019-05-29 02:37:00,28
2019-05-29 02:38:00,29
2019-05-29 02:39:00,29
2019-05-29 02:40:00,27
2019-05-29 02:41:00,30
2019-05-29 02:42:00,29
2019-05-29 02:43:00,29
2019-05-29 02:44:00,29
2019-05-29 02:45:00,28
2019-05-29 02:46:00,25
2019-05-29 02:47:00,29
2019-05-29 02:48:00,29
2019-05-29 02:49:00,28
2019-05-29 02:50:00,29
2019-05-29 02:51:00,30
2019-05-29 02:52:00,28
2019-05-29 02:53:00,27
2019-05-29 14:50:00,13
2019-05-29 14:51:00,30
2019-05-29 14:52:00,4
2019-05-29 14:54:00,25
2019-05-29 14:55:00,30
2019-05-29 14:56:00,2
2019-05-29 16:56:00,5
2019-05-29 16:57:00,29
2019-05-29 16:58:00,30
2019-05-29 16:59:00,30
2019-05-29 17:00:00,27
2019-05-29 17:01:00,29
2019-05-29 17:02:00,29
2019-05-29 17:03:00,29
2019-05-29 17:04:00,30
2019-05-29 17:05:00,29
2019-05-29 17:06:00,28
2019-05-29 17:07:00,30
2019-05-29 17:08:00,27
2019-05-29 17:09:00,28
2019-05-29 17:10:00,29
2019-05-29 17:11:00,29
2019-05-29 17:12:00,19
2019-05-29 17:13:00,29
2019-05-29 17:14:00,30
2019-05-29 17:15:00,29
2019-05-29 17:16:00,28
2019-05-29 17:17:00,30
2019-05-29 17:18:00,29
2019-05-29 17:19:00,28
2019-05-29 17:20:00,29
2019-05-29 17:21:00,10
2019-05-29 17:23:00,9
2019-05-29 17:24:00,29
2019-05-29 17:25:00,30
2019-05-29 17:26:00,26
2019-05-29 17:27:00,26
2019-05-29 17:28:00,28
2019-05-29 17:29:00,28
2019-05-29 17:30:00,28
2019-05-29 17:31:00,25
2019-05-29 17:32:00,12
2019-05-29 18:59:00,5
2019-05-29 19:00:00,27
2019-05-29 19:01:00,30
2019-05-29 19:02:00,29
2019-05-29 19:03:00,29
2019-05-29 19:04:00,30
2019-05-29 19:05:00,30
2019-05-29 19:06:00,28
2019-05-29 19:07:00,30
2019-05-29 19:08:00,30
2019-05-29 19:09:00,30
2019-05-29 19:10:00,29
2019-05-29 19:11:00,30
2019-05-29 19:12:00,30
2019-05-29 19:13:00,29
2019-05-29 19:14:00,28
2019-05-29 19:15:00,27
2019-05-29 19:16:00,30
2019-05-29 19:17:00,30
2019-05-29 19:18:00,30
2019-05-29 19:19:00,30
2019-05-29 19:20:00,30
2019-05-29 19:21:00,28
2019-05-29 19:22:00,29
2019-05-29 19:23:00,29
2019-05-29 19:24:00,29
2019-05-29 19:25:00,30
2019-05-29 19:26:00,29
2019-05-29 19:27:00,30
2019-05-29 19:28:00,30
2019-05-29 19:29:00,29
2019-05-29 19:30:00,29
2019-05-29 19:31:00,30
2019-05-29 19:32:00,29
2019-05-29 19:33:00,30
2019-05-29 19:34:00,30
2019-05-29 19:35:00,29
2019-05-29 19:36:00,29
2019-05-29 19:37:00,29
2019-05-29 19:38:00,30
2019-05-29 19:39:00,30
2019-05-29 19:40:00,30
2019-05-29 19:41:00,29
2019-05-29 19:42:00,29
2019-05-29 19:43:00,10
2019-05-29 19:56:00,10
2019-05-29 19:57:00,28
2019-05-29 19:58:00,29
2019-05-29 19:59:00,30
2019-05-29 20:00:00,27
2019-05-29 20:01:00,30
2019-05-29 20:02:00,30
2019-05-29 20:03:00,29
2019-05-29 20:04:00,29
2019-05-29 20:05:00,30
2019-05-29 20:06:00,17
