3,"SELECT ra, dec, u, g, r, i, z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # SELECT TOP #"
2019-05-29 22:20:00,1
2019-05-29 22:21:00,1
2019-05-29 22:30:00,1
