99,"SELECT s.*,dbo.fDistanceArcMinEq(s.RA+((s.pmra/cos(radians(s.Dec)))/#.)*(s.mjd_f-s.mjd)/#,s.Dec+(s.pmdec/#.)*(s.mjd_f-s.mjd)/#,s.RAJ2#,s.DEJ2#)*#. as Separation from MyDB.gaia_neigh_galex_mjd as s WHERE dbo.fDistanceArcMinEq(s.RA+((s.pmra/cos(radians(s.Dec)))/#.)*(s.mjd_f-s.mjd)/#,s.Dec+(s.pmdec/#.)*(s.mjd_f-s.mjd)/#,s.RAJ2#,s.DEJ2#)*#.<=# -- cone search #/arcsec INTO gaia_X_galex_test1"
2019-05-29 00:01:00,1
2019-05-29 00:03:00,1
2019-05-29 00:04:00,1
2019-05-29 00:06:00,1
2019-05-29 00:07:00,1
2019-05-29 00:09:00,1
2019-05-29 00:10:00,1
2019-05-29 00:12:00,1
2019-05-29 00:13:00,1
2019-05-29 00:15:00,1
2019-05-29 00:17:00,1
2019-05-29 00:18:00,1
2019-05-29 00:20:00,1
2019-05-29 00:21:00,1
2019-05-29 00:23:00,1
2019-05-29 00:24:00,1
2019-05-29 00:26:00,1
2019-05-29 00:27:00,1
2019-05-29 00:29:00,1
2019-05-29 00:31:00,1
2019-05-29 00:32:00,1
2019-05-29 00:34:00,1
2019-05-29 00:35:00,1
2019-05-29 00:37:00,1
2019-05-29 00:38:00,1
2019-05-29 00:40:00,1
2019-05-29 00:41:00,1
2019-05-29 00:43:00,1
2019-05-29 00:44:00,1
2019-05-29 00:46:00,1
2019-05-29 00:47:00,1
2019-05-29 00:49:00,1
2019-05-29 00:51:00,1
2019-05-29 00:52:00,1
2019-05-29 00:54:00,1
2019-05-29 00:55:00,1
2019-05-29 00:57:00,1
2019-05-29 00:58:00,1
2019-05-29 01:00:00,1
2019-05-29 01:02:00,1
2019-05-29 01:03:00,1
2019-05-29 01:05:00,1
2019-05-29 01:06:00,1
2019-05-29 01:08:00,1
2019-05-29 01:09:00,1
2019-05-29 01:11:00,1
2019-05-29 01:12:00,1
2019-05-29 01:14:00,1
2019-05-29 01:15:00,1
2019-05-29 01:17:00,1
2019-05-29 01:19:00,1
2019-05-29 01:20:00,1
2019-05-29 01:22:00,1
2019-05-29 01:23:00,1
2019-05-29 01:25:00,1
2019-05-29 01:26:00,1
2019-05-29 01:28:00,1
2019-05-29 01:29:00,1
2019-05-29 01:31:00,1
2019-05-29 01:32:00,1
2019-05-29 01:34:00,1
2019-05-29 01:35:00,1
2019-05-29 01:37:00,1
2019-05-29 01:39:00,1
2019-05-29 01:40:00,1
2019-05-29 01:42:00,1
2019-05-29 01:43:00,1
2019-05-29 01:45:00,1
2019-05-29 01:46:00,1
2019-05-29 01:48:00,1
2019-05-29 01:49:00,1
2019-05-29 01:51:00,1
2019-05-29 01:53:00,1
2019-05-29 01:54:00,1
2019-05-29 01:56:00,1
2019-05-29 01:57:00,1
2019-05-29 01:59:00,1
2019-05-29 02:00:00,1
2019-05-29 02:02:00,1
2019-05-29 02:03:00,1
2019-05-29 02:05:00,1
2019-05-29 02:06:00,1
2019-05-29 02:08:00,1
2019-05-29 02:09:00,1
2019-05-29 02:11:00,1
2019-05-29 02:12:00,1
2019-05-29 02:14:00,1
2019-05-29 02:16:00,1
2019-05-29 02:17:00,1
2019-05-29 02:19:00,1
2019-05-29 02:20:00,1
2019-05-29 02:22:00,1
2019-05-29 02:24:00,1
2019-05-29 02:25:00,1
2019-05-29 02:27:00,1
2019-05-29 02:28:00,1
2019-05-29 02:30:00,1
2019-05-29 02:32:00,1
2019-05-29 02:33:00,1
