17,"select p.ra, p.dec, p.r, p.Err_r from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_r <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-05-29 09:31:00,1
2019-05-29 09:45:00,1
2019-05-29 11:12:00,1
2019-05-29 11:25:00,1
2019-05-29 11:38:00,1
2019-05-29 12:05:00,1
2019-05-29 12:19:00,1
2019-05-29 12:32:00,1
2019-05-29 12:50:00,1
2019-05-29 13:15:00,1
2019-05-29 13:47:00,1
2019-05-29 14:00:00,1
2019-05-29 14:13:00,1
2019-05-29 15:58:00,1
2019-05-29 16:04:00,1
2019-05-29 16:18:00,1
2019-05-29 16:44:00,1
