17,"select p.ra, p.dec, p.z, p.Err_z from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_z <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-05-29 09:33:00,1
2019-05-29 09:41:00,1
2019-05-29 09:48:00,1
2019-05-29 11:15:00,1
2019-05-29 11:28:00,1
2019-05-29 11:41:00,1
2019-05-29 12:08:00,1
2019-05-29 12:22:00,1
2019-05-29 12:35:00,1
2019-05-29 12:53:00,1
2019-05-29 13:17:00,1
2019-05-29 13:50:00,1
2019-05-29 14:16:00,1
2019-05-29 16:01:00,1
2019-05-29 16:07:00,1
2019-05-29 16:22:00,1
2019-05-29 16:48:00,1
