13,"select P.ra, P.dec, P.objID, P.u, P.err_u, P.g, P.err_g, P.r, P.err_r, P.i, P.err_i, P.z, P.err_z from PhotoPrimary as P, dbo.fGetNearbyObjEq(#, #, #) as N where P.objID=N.objID and P.type=# and P.r >= # and P.r <= #"
2019-05-29 13:10:00,1
2019-05-29 13:15:00,1
2019-05-29 13:20:00,1
2019-05-29 13:25:00,1
2019-05-29 13:26:00,1
2019-05-29 13:35:00,1
2019-05-29 13:40:00,1
2019-05-29 13:45:00,1
2019-05-29 13:50:00,1
2019-05-29 13:55:00,1
2019-05-29 14:00:00,1
2019-05-29 14:05:00,1
2019-05-29 18:10:00,1
