5,"SELECT ra, dec, u, g, r, i, z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # and u < #"
2019-05-29 22:10:00,1
2019-05-29 22:11:00,1
2019-05-29 22:12:00,1
2019-05-29 22:13:00,2
