3,"SELECT TOP #   ra, dec, u, g, r, i, z FROM PhotoObj WHERE ra BETWEEN # AND #  AND dec BETWEEN # AND #"
2019-05-29 22:26:00,1
2019-05-29 22:28:00,1
2019-05-29 22:34:00,1
