24,select * from public.ncarey.framePathProcessing where processed = # and Id < #
2019-05-29 12:15:00,1
2019-05-29 12:16:00,1
2019-05-29 13:24:00,1
2019-05-29 13:25:00,1
2019-05-29 13:47:00,2
2019-05-29 17:05:00,2
2019-05-29 17:06:00,1
2019-05-29 17:09:00,1
2019-05-29 17:19:00,1
2019-05-29 17:21:00,1
2019-05-29 17:24:00,2
2019-05-29 17:29:00,1
2019-05-29 17:32:00,1
2019-05-29 19:14:00,2
2019-05-29 19:22:00,1
2019-05-29 19:29:00,1
2019-05-29 19:30:00,1
2019-05-29 19:37:00,1
2019-05-29 19:40:00,1
2019-05-29 19:55:00,1
