18,"select p.ra, p.dec, p.g, p.Err_g from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_g <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-05-29 09:30:00,1
2019-05-29 09:44:00,1
2019-05-29 11:11:00,1
2019-05-29 11:24:00,1
2019-05-29 11:37:00,1
2019-05-29 12:04:00,1
2019-05-29 12:18:00,1
2019-05-29 12:31:00,1
2019-05-29 12:49:00,1
2019-05-29 13:02:00,1
2019-05-29 13:15:00,1
2019-05-29 13:46:00,1
2019-05-29 13:59:00,1
2019-05-29 14:12:00,1
2019-05-29 15:57:00,1
2019-05-29 16:03:00,1
2019-05-29 16:17:00,1
2019-05-29 16:43:00,1
