99,"SELECT m.*, dbo.fDateTimeToMJD(s.fobs_dat) as Mjd_f,dbo.fDateTimeToMJD(s.nobs_dat) as Mjd_n into mydb.gaia_neigh_galex_mjd from  MyDB.neigh_galex_tmp as m, PHOTOEXTRACT as s WHERE m.phID=s.photoExtractID"
2019-05-29 00:00:00,1
2019-05-29 00:02:00,1
2019-05-29 00:03:00,1
2019-05-29 00:05:00,1
2019-05-29 00:06:00,1
2019-05-29 00:08:00,1
2019-05-29 00:10:00,1
2019-05-29 00:11:00,1
2019-05-29 00:13:00,1
2019-05-29 00:14:00,1
2019-05-29 00:16:00,1
2019-05-29 00:17:00,1
2019-05-29 00:19:00,1
2019-05-29 00:20:00,1
2019-05-29 00:22:00,1
2019-05-29 00:23:00,1
2019-05-29 00:25:00,1
2019-05-29 00:27:00,1
2019-05-29 00:28:00,1
2019-05-29 00:30:00,1
2019-05-29 00:32:00,1
2019-05-29 00:33:00,1
2019-05-29 00:35:00,1
2019-05-29 00:36:00,1
2019-05-29 00:38:00,1
2019-05-29 00:39:00,1
2019-05-29 00:41:00,1
2019-05-29 00:42:00,1
2019-05-29 00:44:00,1
2019-05-29 00:45:00,1
2019-05-29 00:47:00,1
2019-05-29 00:48:00,1
2019-05-29 00:50:00,1
2019-05-29 00:51:00,1
2019-05-29 00:53:00,1
2019-05-29 00:55:00,1
2019-05-29 00:56:00,1
2019-05-29 00:58:00,1
2019-05-29 00:59:00,1
2019-05-29 01:01:00,1
2019-05-29 01:02:00,1
2019-05-29 01:04:00,1
2019-05-29 01:06:00,1
2019-05-29 01:07:00,1
2019-05-29 01:09:00,1
2019-05-29 01:10:00,1
2019-05-29 01:12:00,1
2019-05-29 01:13:00,1
2019-05-29 01:15:00,1
2019-05-29 01:16:00,1
2019-05-29 01:18:00,1
2019-05-29 01:19:00,1
2019-05-29 01:21:00,1
2019-05-29 01:22:00,1
2019-05-29 01:24:00,1
2019-05-29 01:26:00,1
2019-05-29 01:27:00,1
2019-05-29 01:29:00,1
2019-05-29 01:30:00,1
2019-05-29 01:32:00,1
2019-05-29 01:33:00,1
2019-05-29 01:35:00,1
2019-05-29 01:36:00,1
2019-05-29 01:38:00,1
2019-05-29 01:40:00,1
2019-05-29 01:41:00,1
2019-05-29 01:43:00,1
2019-05-29 01:44:00,1
2019-05-29 01:46:00,1
2019-05-29 01:47:00,1
2019-05-29 01:49:00,1
2019-05-29 01:50:00,1
2019-05-29 01:52:00,1
2019-05-29 01:53:00,1
2019-05-29 01:55:00,1
2019-05-29 01:56:00,1
2019-05-29 01:58:00,1
2019-05-29 01:59:00,1
2019-05-29 02:01:00,1
2019-05-29 02:03:00,1
2019-05-29 02:04:00,1
2019-05-29 02:06:00,1
2019-05-29 02:07:00,1
2019-05-29 02:09:00,1
2019-05-29 02:10:00,1
2019-05-29 02:12:00,1
2019-05-29 02:13:00,1
2019-05-29 02:15:00,1
2019-05-29 02:17:00,1
2019-05-29 02:18:00,1
2019-05-29 02:20:00,1
2019-05-29 02:21:00,1
2019-05-29 02:23:00,1
2019-05-29 02:24:00,1
2019-05-29 02:26:00,1
2019-05-29 02:28:00,1
2019-05-29 02:29:00,1
2019-05-29 02:31:00,1
2019-05-29 02:33:00,1
