105,"select p.objid,type FROM PhotoPrimary AS p WHERE type=# AND p.objid = #"
2019-05-29 19:21:00,1
2019-05-29 19:36:00,1
2019-05-29 19:40:00,2
2019-05-29 19:58:00,1
2019-05-29 20:01:00,3
2019-05-29 20:12:00,1
2019-05-29 20:14:00,3
2019-05-29 20:15:00,3
2019-05-29 20:16:00,2
2019-05-29 20:17:00,2
2019-05-29 20:18:00,1
2019-05-29 20:19:00,1
2019-05-29 20:21:00,2
2019-05-29 20:22:00,4
2019-05-29 20:23:00,2
2019-05-29 20:24:00,5
2019-05-29 20:25:00,3
2019-05-29 20:26:00,3
2019-05-29 20:27:00,2
2019-05-29 20:56:00,2
2019-05-29 20:57:00,1
2019-05-29 20:59:00,2
2019-05-29 21:04:00,5
2019-05-29 21:05:00,1
2019-05-29 21:06:00,4
2019-05-29 21:08:00,2
2019-05-29 21:09:00,3
2019-05-29 21:10:00,3
2019-05-29 21:11:00,1
2019-05-29 21:16:00,3
2019-05-29 21:17:00,3
2019-05-29 21:18:00,2
2019-05-29 21:19:00,3
2019-05-29 21:32:00,6
2019-05-29 21:33:00,6
2019-05-29 21:36:00,3
2019-05-29 21:37:00,2
2019-05-29 21:39:00,3
2019-05-29 21:40:00,4
2019-05-29 21:41:00,3
2019-05-29 21:42:00,1
