1850,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-29 01:32:00,1
2019-05-29 03:51:00,1
2019-05-29 06:27:00,1
2019-05-29 11:22:00,1
2019-05-29 11:27:00,1
2019-05-29 11:32:00,1
2019-05-29 14:41:00,1
2019-05-29 14:44:00,1
2019-05-29 14:46:00,2
2019-05-29 14:58:00,1
2019-05-29 16:42:00,1
2019-05-29 16:52:00,1
2019-05-29 17:37:00,1
2019-05-29 18:16:00,1
2019-05-29 18:21:00,1
2019-05-29 19:01:00,1
2019-05-29 19:33:00,34
2019-05-29 19:34:00,73
2019-05-29 19:35:00,72
2019-05-29 19:36:00,102
2019-05-29 19:37:00,107
2019-05-29 19:38:00,110
2019-05-29 19:39:00,105
2019-05-29 19:40:00,46
2019-05-29 19:49:00,20
2019-05-29 19:51:00,2
2019-05-29 19:53:00,2
2019-05-29 19:58:00,115
2019-05-29 19:59:00,105
2019-05-29 20:00:00,34
2019-05-29 20:17:00,98
2019-05-29 20:18:00,250
2019-05-29 20:19:00,252
2019-05-29 20:20:00,261
2019-05-29 20:21:00,41
2019-05-29 23:01:00,1
2019-05-29 23:25:00,1
2019-05-29 23:26:00,1
2019-05-29 23:51:00,1
