40,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-05-29 01:51:00,2
2019-05-29 02:23:00,1
2019-05-29 06:05:00,1
2019-05-29 07:34:00,1
2019-05-29 09:41:00,1
2019-05-29 09:44:00,3
2019-05-29 09:45:00,1
2019-05-29 09:57:00,1
2019-05-29 11:07:00,1
2019-05-29 11:56:00,1
2019-05-29 14:04:00,4
2019-05-29 14:05:00,1
2019-05-29 14:10:00,3
2019-05-29 14:11:00,1
2019-05-29 14:19:00,3
2019-05-29 14:37:00,1
2019-05-29 14:59:00,1
2019-05-29 15:16:00,1
2019-05-29 16:17:00,2
2019-05-29 19:05:00,3
2019-05-29 19:08:00,1
2019-05-29 19:11:00,1
2019-05-29 19:26:00,1
2019-05-29 19:27:00,1
2019-05-29 23:59:00,3
