18,"select p.ra, p.dec, p.i, p.Err_i from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid where ((p.flags & #) != #) AND ((p.flags & #) = #) AND (((p.flags & #) = #) AND (p.psfmagerr_i <= #)) AND (((p.flags & #) = #) or (p.flags & #) = #)"
2019-05-29 09:32:00,1
2019-05-29 09:39:00,1
2019-05-29 09:46:00,1
2019-05-29 11:13:00,1
2019-05-29 11:26:00,1
2019-05-29 11:39:00,1
2019-05-29 12:06:00,1
2019-05-29 12:20:00,1
2019-05-29 12:33:00,1
2019-05-29 12:51:00,1
2019-05-29 13:04:00,1
2019-05-29 13:16:00,1
2019-05-29 13:48:00,1
2019-05-29 14:02:00,1
2019-05-29 14:14:00,1
2019-05-29 15:59:00,1
2019-05-29 16:19:00,1
2019-05-29 16:46:00,1
