45,SELECT * FROM MyNbrsDist
2019-04-02 14:16:00,1
2019-04-02 14:20:00,1
2019-04-02 14:21:00,1
2019-04-02 14:22:00,1
2019-04-02 14:30:00,1
2019-04-02 14:32:00,1
2019-04-02 14:35:00,1
2019-04-02 14:36:00,1
2019-04-02 14:39:00,1
2019-04-02 14:42:00,1
2019-04-02 14:44:00,1
2019-04-02 14:45:00,1
2019-04-02 14:46:00,1
2019-04-02 14:48:00,1
2019-04-02 14:51:00,1
2019-04-02 14:52:00,1
2019-04-02 14:53:00,1
2019-04-02 14:55:00,1
2019-04-02 14:56:00,1
2019-04-02 14:59:00,1
2019-04-02 15:01:00,1
2019-04-02 15:02:00,1
2019-04-02 15:04:00,1
2019-04-02 15:06:00,1
2019-04-02 15:08:00,1
2019-04-02 15:16:00,1
2019-04-02 15:17:00,1
2019-04-02 15:18:00,1
2019-04-02 15:19:00,1
2019-04-02 15:21:00,2
2019-04-02 15:24:00,1
2019-04-02 15:25:00,1
2019-04-02 15:28:00,1
2019-04-02 15:29:00,1
2019-04-02 15:30:00,1
2019-04-02 15:31:00,2
2019-04-02 15:33:00,1
2019-04-02 15:34:00,1
2019-04-02 15:35:00,1
2019-04-02 15:42:00,1
2019-04-02 15:52:00,1
2019-04-02 15:53:00,1
2019-04-02 15:54:00,1
