9,"select top # p.objid, p.ra, p.dec, s.z as redshift from photoobj p, specobj s where p.objid=s.bestobjid and (s.class = &&&) and s.z BETWEEN # AND #"
2019-04-02 07:48:00,3
2019-04-02 07:50:00,2
2019-04-02 08:38:00,1
2019-04-02 08:42:00,2
2019-04-02 08:44:00,1
