67,select * from fDocFunctionParams(&&&)
2019-04-02 00:00:00,1
2019-04-02 00:09:00,8
2019-04-02 00:10:00,5
2019-04-02 00:15:00,1
2019-04-02 00:17:00,1
2019-04-02 00:19:00,1
2019-04-02 00:23:00,1
2019-04-02 00:24:00,1
2019-04-02 00:30:00,2
2019-04-02 00:31:00,1
2019-04-02 00:37:00,1
2019-04-02 00:42:00,1
2019-04-02 00:51:00,1
2019-04-02 01:03:00,1
2019-04-02 01:24:00,1
2019-04-02 01:25:00,1
2019-04-02 01:27:00,1
2019-04-02 03:46:00,1
2019-04-02 06:36:00,1
2019-04-02 07:19:00,1
2019-04-02 07:27:00,2
2019-04-02 08:13:00,1
2019-04-02 09:08:00,2
2019-04-02 09:09:00,1
2019-04-02 09:13:00,1
2019-04-02 10:47:00,1
2019-04-02 11:34:00,1
2019-04-02 11:48:00,1
2019-04-02 11:52:00,1
2019-04-02 12:02:00,1
2019-04-02 12:07:00,1
2019-04-02 12:15:00,1
2019-04-02 12:35:00,1
2019-04-02 13:16:00,1
2019-04-02 13:49:00,1
2019-04-02 14:10:00,1
2019-04-02 14:55:00,1
2019-04-02 17:22:00,1
2019-04-02 18:38:00,2
2019-04-02 18:39:00,1
2019-04-02 18:51:00,1
2019-04-02 18:54:00,1
2019-04-02 19:08:00,1
2019-04-02 19:15:00,1
2019-04-02 20:16:00,1
2019-04-02 20:52:00,4
2019-04-02 20:53:00,1
2019-04-02 23:17:00,1
2019-04-02 23:18:00,1
