20,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-04-02 07:23:00,1
2019-04-02 07:39:00,1
2019-04-02 07:40:00,1
2019-04-02 07:53:00,1
2019-04-02 08:05:00,1
2019-04-02 08:06:00,1
2019-04-02 08:09:00,2
2019-04-02 08:15:00,1
2019-04-02 08:16:00,1
2019-04-02 08:33:00,1
2019-04-02 08:44:00,1
2019-04-02 08:46:00,2
2019-04-02 12:05:00,1
2019-04-02 13:19:00,1
2019-04-02 13:20:00,1
2019-04-02 16:43:00,1
2019-04-02 19:09:00,1
2019-04-02 21:33:00,1
