24,"select top # p.objid, s.z as redshift from galaxy p, specobj s where p.objid=s.bestobjid and (p.u BETWEEN # AND #)  and (p.g BETWEEN # AND #)"
2019-04-02 07:59:00,2
2019-04-02 08:00:00,3
2019-04-02 08:01:00,1
2019-04-02 08:03:00,2
2019-04-02 08:04:00,1
2019-04-02 08:13:00,2
2019-04-02 08:14:00,1
2019-04-02 08:15:00,2
2019-04-02 08:16:00,2
2019-04-02 08:17:00,1
2019-04-02 08:18:00,2
2019-04-02 08:19:00,1
2019-04-02 08:20:00,1
2019-04-02 08:21:00,2
2019-04-02 08:22:00,1
