3,"SELECT p.r, p.g-p.r AS temp FROM PhotoObj AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-04-02 12:53:00,2
2019-04-02 12:55:00,1
