3,"SELECT     p.ra,p.dec,s.z as redshift,    s.plate, s.mjd, s.fiberid into mydb.MyTable_# from PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE     p.ra BETWEEN # AND #    AND p.dec BETWEEN # AND #"
2019-04-02 02:00:00,1
2019-04-02 02:01:00,2
