13,"SELECT Galaxy.ra,Galaxy.dec,Galaxy.dered_u,Galaxy.dered_g,Galaxy.dered_r,Galaxy.dered_i,Galaxy.dered_z,Photoz.z,Photoz.zErr into mydb.MyTable from Photoz,Galaxy WHERE  Galaxy.mode=#  and Galaxy.type=#  and Photoz.z between # and #  and photoErrorClass between # and #  and Galaxy.dered_r between # and #"
2019-04-02 04:38:00,1
2019-04-02 04:42:00,1
2019-04-02 05:02:00,1
2019-04-02 05:22:00,1
2019-04-02 05:29:00,1
2019-04-02 05:30:00,1
2019-04-02 05:37:00,1
2019-04-02 06:15:00,1
2019-04-02 06:16:00,2
2019-04-02 06:39:00,1
2019-04-02 06:44:00,1
2019-04-02 06:55:00,1
