6,"select top # p.objid, p.ra, p.dec, s.z as redshift from star p, specobj s where p.objid=s.bestobjid and s.z BETWEEN # AND #"
2019-04-02 07:44:00,2
2019-04-02 07:45:00,3
2019-04-02 08:35:00,1
