3,"SELECT TOP # p.objId,p.ra,p.dec,p.petror9#_r, p.g, p.r, p.z   FROM galaxy AS p    JOIN SpecObjALL AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND #   AND p.g BETWEEN # AND #  AND p.petror9#_r > #"
2019-04-02 11:55:00,1
2019-04-02 11:56:00,2
