11,"SELECT TOP # specObjID, survey, bestobjid, z /*Table of top A random objects with redshift, survey they are in, and object ID for searching*/  FROM SpecObj /*Objects with spectra*/ WHERE class = &&& /* The objects shown will all be QSO&&&sdss&&&boss') /*searching across both the legacy and boss surveys (and not other surveys) */  order by newid() /* This is the randomisation algorithm */"
2019-04-02 10:10:00,1
2019-04-02 10:11:00,1
2019-04-02 10:24:00,1
2019-04-02 10:49:00,1
2019-04-02 11:36:00,1
2019-04-02 11:59:00,1
2019-04-02 12:19:00,1
2019-04-02 12:44:00,1
2019-04-02 13:34:00,1
2019-04-02 13:42:00,1
2019-04-02 14:23:00,1
