970,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),r.z,r.Zerr FROM Galaxy as p, photoz as r WHERE p.ObjID=r.ObjID and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-04-02 00:00:00,11
2019-04-02 00:01:00,22
2019-04-02 00:02:00,18
2019-04-02 00:03:00,21
2019-04-02 00:04:00,46
2019-04-02 00:05:00,6
2019-04-02 00:06:00,29
2019-04-02 00:07:00,11
2019-04-02 00:08:00,10
2019-04-02 00:10:00,1
2019-04-02 00:12:00,2
2019-04-02 00:13:00,1
2019-04-02 00:14:00,1
2019-04-02 00:18:00,1
2019-04-02 00:19:00,1
2019-04-02 22:52:00,1
2019-04-02 22:53:00,3
2019-04-02 22:54:00,6
2019-04-02 22:55:00,5
2019-04-02 22:56:00,1
2019-04-02 22:57:00,4
2019-04-02 22:58:00,12
2019-04-02 22:59:00,18
2019-04-02 23:00:00,3
2019-04-02 23:01:00,2
2019-04-02 23:02:00,3
2019-04-02 23:03:00,3
2019-04-02 23:04:00,13
2019-04-02 23:05:00,15
2019-04-02 23:06:00,28
2019-04-02 23:07:00,25
2019-04-02 23:08:00,34
2019-04-02 23:09:00,32
2019-04-02 23:10:00,25
2019-04-02 23:11:00,14
2019-04-02 23:12:00,10
2019-04-02 23:13:00,25
2019-04-02 23:14:00,36
2019-04-02 23:15:00,42
2019-04-02 23:16:00,26
2019-04-02 23:17:00,21
2019-04-02 23:18:00,10
2019-04-02 23:19:00,15
2019-04-02 23:20:00,13
2019-04-02 23:21:00,21
2019-04-02 23:22:00,8
2019-04-02 23:23:00,16
2019-04-02 23:24:00,27
2019-04-02 23:25:00,11
2019-04-02 23:26:00,25
2019-04-02 23:27:00,22
2019-04-02 23:28:00,14
2019-04-02 23:29:00,17
2019-04-02 23:30:00,29
2019-04-02 23:31:00,13
2019-04-02 23:32:00,7
2019-04-02 23:33:00,13
2019-04-02 23:34:00,17
2019-04-02 23:35:00,8
2019-04-02 23:36:00,9
2019-04-02 23:37:00,7
2019-04-02 23:40:00,5
2019-04-02 23:41:00,1
2019-04-02 23:42:00,5
2019-04-02 23:43:00,5
2019-04-02 23:44:00,6
2019-04-02 23:46:00,11
2019-04-02 23:47:00,3
2019-04-02 23:48:00,4
2019-04-02 23:51:00,1
2019-04-02 23:52:00,6
2019-04-02 23:55:00,14
2019-04-02 23:56:00,5
2019-04-02 23:58:00,4
2019-04-02 23:59:00,10
