129,"SELECT TOP #  p.run, p.rerun, p.camcol, p.field  FROM PhotoObjDR7 AS p  WHERE p.dr7objid=#"
2019-04-02 00:00:00,1
2019-04-02 00:09:00,1
2019-04-02 00:19:00,1
2019-04-02 00:28:00,1
2019-04-02 01:16:00,1
2019-04-02 02:32:00,1
2019-04-02 04:30:00,1
2019-04-02 05:48:00,1
2019-04-02 06:10:00,1
2019-04-02 06:17:00,1
2019-04-02 06:24:00,1
2019-04-02 06:31:00,1
2019-04-02 06:33:00,1
2019-04-02 06:39:00,1
2019-04-02 06:46:00,1
2019-04-02 06:53:00,1
2019-04-02 07:00:00,1
2019-04-02 07:07:00,1
2019-04-02 07:15:00,1
2019-04-02 07:22:00,1
2019-04-02 07:29:00,1
2019-04-02 07:36:00,1
2019-04-02 07:44:00,1
2019-04-02 07:49:00,1
2019-04-02 07:51:00,1
2019-04-02 07:54:00,1
2019-04-02 07:58:00,1
2019-04-02 08:06:00,1
2019-04-02 08:13:00,1
2019-04-02 08:20:00,1
2019-04-02 08:23:00,1
2019-04-02 08:27:00,1
2019-04-02 08:43:00,2
2019-04-02 08:48:00,1
2019-04-02 08:53:00,1
2019-04-02 09:10:00,1
2019-04-02 09:18:00,1
2019-04-02 09:24:00,1
2019-04-02 09:32:00,1
2019-04-02 09:39:00,1
2019-04-02 09:41:00,1
2019-04-02 09:46:00,1
2019-04-02 09:53:00,1
2019-04-02 10:00:00,1
2019-04-02 10:07:00,1
2019-04-02 10:14:00,1
2019-04-02 10:15:00,1
2019-04-02 10:22:00,1
2019-04-02 10:29:00,1
2019-04-02 10:36:00,1
2019-04-02 10:44:00,1
2019-04-02 10:55:00,1
2019-04-02 11:05:00,2
2019-04-02 11:12:00,1
2019-04-02 11:19:00,1
2019-04-02 11:23:00,2
2019-04-02 11:27:00,1
2019-04-02 11:41:00,1
2019-04-02 11:48:00,1
2019-04-02 12:06:00,1
2019-04-02 12:10:00,1
2019-04-02 12:17:00,1
2019-04-02 12:24:00,1
2019-04-02 12:32:00,1
2019-04-02 12:37:00,1
2019-04-02 12:39:00,1
2019-04-02 12:46:00,2
2019-04-02 12:53:00,1
2019-04-02 13:08:00,1
2019-04-02 13:15:00,1
2019-04-02 13:22:00,1
2019-04-02 13:36:00,1
2019-04-02 13:43:00,1
2019-04-02 13:47:00,1
2019-04-02 13:58:00,1
2019-04-02 14:05:00,1
2019-04-02 14:12:00,1
2019-04-02 14:16:00,1
2019-04-02 14:19:00,1
2019-04-02 14:20:00,1
2019-04-02 14:27:00,1
2019-04-02 14:34:00,1
2019-04-02 14:40:00,1
2019-04-02 14:47:00,1
2019-04-02 15:30:00,1
2019-04-02 15:32:00,1
2019-04-02 15:51:00,1
2019-04-02 15:52:00,1
2019-04-02 15:53:00,1
2019-04-02 15:55:00,2
2019-04-02 16:37:00,1
2019-04-02 17:42:00,1
2019-04-02 18:38:00,1
2019-04-02 18:43:00,1
2019-04-02 19:33:00,1
2019-04-02 19:42:00,1
2019-04-02 19:52:00,1
2019-04-02 20:11:00,1
2019-04-02 20:20:00,1
2019-04-02 20:30:00,1
2019-04-02 20:39:00,1
2019-04-02 20:49:00,1
2019-04-02 20:58:00,1
2019-04-02 21:07:00,1
2019-04-02 21:17:00,1
2019-04-02 21:27:00,1
2019-04-02 21:36:00,1
2019-04-02 21:55:00,1
2019-04-02 22:04:00,1
2019-04-02 22:14:00,1
2019-04-02 22:23:00,1
2019-04-02 22:33:00,1
2019-04-02 22:36:00,1
2019-04-02 22:42:00,1
2019-04-02 22:44:00,1
2019-04-02 22:52:00,1
2019-04-02 23:00:00,1
2019-04-02 23:01:00,1
2019-04-02 23:10:00,1
2019-04-02 23:11:00,1
2019-04-02 23:20:00,1
2019-04-02 23:39:00,1
2019-04-02 23:48:00,1
2019-04-02 23:58:00,1
