2,"select top # p.objid, p.ra, p.dec from star p, specobj s where p.objid=s.bestobjid and (p.u BETWEEN # AND #)  and (p.g BETWEEN # AND #)  and (p.r BETWEEN # AND #)  and (p.i BETWEEN # AND #)  and (p.z BETWEEN # AND #)"
2019-04-02 07:43:00,1
2019-04-02 07:44:00,1
