2122,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-04-02 17:47:00,20
2019-04-02 17:48:00,175
2019-04-02 17:49:00,84
2019-04-02 17:50:00,124
2019-04-02 17:51:00,178
2019-04-02 17:52:00,17
2019-04-02 17:53:00,62
2019-04-02 17:54:00,174
2019-04-02 17:55:00,163
2019-04-02 17:56:00,101
2019-04-02 17:57:00,170
2019-04-02 17:58:00,176
2019-04-02 17:59:00,154
2019-04-02 18:00:00,145
2019-04-02 18:01:00,186
2019-04-02 18:02:00,189
2019-04-02 18:03:00,4
