512,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-25 01:16:00,2
2019-06-25 07:46:00,1
2019-06-25 18:28:00,1
2019-06-25 18:59:00,1
2019-06-25 19:01:00,8
2019-06-25 19:08:00,8
2019-06-25 19:10:00,1
2019-06-25 19:11:00,1
2019-06-25 19:17:00,1
2019-06-25 19:40:00,32
2019-06-25 19:41:00,66
2019-06-25 19:43:00,1
2019-06-25 19:44:00,1
2019-06-25 19:45:00,123
2019-06-25 19:46:00,10
2019-06-25 19:47:00,2
2019-06-25 19:49:00,33
2019-06-25 19:50:00,122
2019-06-25 19:51:00,98
