33,"SELECT p.objId, p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-06-25 10:57:00,1
2019-06-25 11:03:00,1
2019-06-25 11:38:00,1
2019-06-25 11:39:00,1
2019-06-25 11:40:00,1
2019-06-25 12:22:00,2
2019-06-25 12:29:00,1
2019-06-25 12:35:00,1
2019-06-25 12:43:00,1
2019-06-25 12:48:00,1
2019-06-25 12:52:00,1
2019-06-25 12:53:00,1
2019-06-25 13:17:00,1
2019-06-25 13:18:00,2
2019-06-25 13:32:00,1
2019-06-25 13:50:00,1
2019-06-25 13:55:00,1
2019-06-25 13:57:00,1
2019-06-25 14:00:00,1
2019-06-25 14:02:00,2
2019-06-25 14:30:00,1
2019-06-25 14:45:00,1
2019-06-25 16:34:00,1
2019-06-25 16:48:00,1
2019-06-25 18:22:00,1
2019-06-25 19:21:00,1
2019-06-25 19:30:00,1
2019-06-25 19:31:00,1
2019-06-25 19:37:00,1
2019-06-25 19:56:00,1
