106,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-06-25 03:31:00,2
2019-06-25 03:32:00,1
2019-06-25 03:33:00,1
2019-06-25 03:34:00,1
2019-06-25 03:35:00,8
2019-06-25 03:36:00,1
2019-06-25 03:37:00,1
2019-06-25 03:38:00,1
2019-06-25 03:39:00,1
2019-06-25 03:40:00,2
2019-06-25 04:30:00,1
2019-06-25 04:31:00,1
2019-06-25 04:32:00,1
2019-06-25 05:01:00,1
2019-06-25 05:02:00,2
2019-06-25 05:03:00,1
2019-06-25 05:04:00,1
2019-06-25 05:05:00,4
2019-06-25 05:06:00,1
2019-06-25 05:07:00,1
2019-06-25 05:30:00,1
2019-06-25 09:31:00,1
2019-06-25 09:32:00,1
2019-06-25 09:33:00,1
2019-06-25 09:34:00,2
2019-06-25 09:35:00,9
2019-06-25 09:36:00,1
2019-06-25 09:37:00,1
2019-06-25 09:38:00,1
2019-06-25 09:39:00,1
2019-06-25 09:40:00,1
2019-06-25 09:41:00,1
2019-06-25 09:42:00,1
2019-06-25 10:30:00,1
2019-06-25 10:31:00,1
2019-06-25 10:32:00,1
2019-06-25 10:33:00,1
2019-06-25 10:34:00,1
2019-06-25 10:35:00,9
2019-06-25 10:36:00,1
2019-06-25 10:37:00,1
2019-06-25 10:38:00,2
2019-06-25 10:39:00,1
2019-06-25 10:40:00,1
2019-06-25 10:41:00,1
2019-06-25 12:31:00,1
2019-06-25 13:01:00,1
2019-06-25 13:30:00,1
2019-06-25 13:31:00,1
2019-06-25 15:01:00,1
2019-06-25 16:31:00,1
2019-06-25 16:32:00,1
2019-06-25 16:33:00,1
2019-06-25 16:34:00,1
2019-06-25 16:35:00,2
2019-06-25 18:31:00,1
2019-06-25 18:32:00,1
2019-06-25 21:01:00,1
2019-06-25 21:31:00,2
2019-06-25 21:32:00,1
2019-06-25 21:33:00,1
2019-06-25 21:34:00,1
2019-06-25 21:35:00,3
2019-06-25 21:36:00,1
2019-06-25 23:01:00,2
2019-06-25 23:02:00,1
2019-06-25 23:03:00,1
2019-06-25 23:04:00,1
2019-06-25 23:30:00,1
2019-06-25 23:31:00,1
