3783,"select ra,dec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroR5#_r,probPSF,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z, p.objid from (PhotoTag p inner join fGetObjFromRectEq(#,#,#,#) r on p.objid=r.objid)"
2019-06-25 06:16:00,1
2019-06-25 06:18:00,1
2019-06-25 06:20:00,1
2019-06-25 06:21:00,3
2019-06-25 06:22:00,4
2019-06-25 06:23:00,3
2019-06-25 06:24:00,4
2019-06-25 06:25:00,2
2019-06-25 06:26:00,4
2019-06-25 06:27:00,7
2019-06-25 06:28:00,9
2019-06-25 06:29:00,10
2019-06-25 06:30:00,9
2019-06-25 06:31:00,8
2019-06-25 06:32:00,8
2019-06-25 06:33:00,9
2019-06-25 06:34:00,4
2019-06-25 06:35:00,5
2019-06-25 06:36:00,4
2019-06-25 06:37:00,3
2019-06-25 06:38:00,21
2019-06-25 06:39:00,28
2019-06-25 06:40:00,33
2019-06-25 06:41:00,17
2019-06-25 06:42:00,9
2019-06-25 06:43:00,4
2019-06-25 06:44:00,4
2019-06-25 06:45:00,9
2019-06-25 06:46:00,10
2019-06-25 06:47:00,9
2019-06-25 06:48:00,9
2019-06-25 06:49:00,18
2019-06-25 06:50:00,12
2019-06-25 06:51:00,7
2019-06-25 06:52:00,3
2019-06-25 06:53:00,3
2019-06-25 06:54:00,2
2019-06-25 06:55:00,6
2019-06-25 06:56:00,8
2019-06-25 06:57:00,7
2019-06-25 06:58:00,8
2019-06-25 06:59:00,1
2019-06-25 07:00:00,4
2019-06-25 07:01:00,12
2019-06-25 07:02:00,10
2019-06-25 07:03:00,9
2019-06-25 07:04:00,7
2019-06-25 07:05:00,4
2019-06-25 07:06:00,3
2019-06-25 07:07:00,21
2019-06-25 07:08:00,25
2019-06-25 07:09:00,11
2019-06-25 07:10:00,10
2019-06-25 07:11:00,11
2019-06-25 07:13:00,6
2019-06-25 07:14:00,6
2019-06-25 07:15:00,7
2019-06-25 07:16:00,4
2019-06-25 07:17:00,7
2019-06-25 07:18:00,3
2019-06-25 07:19:00,4
2019-06-25 07:20:00,8
2019-06-25 07:21:00,2
2019-06-25 07:22:00,5
2019-06-25 07:23:00,3
2019-06-25 07:24:00,7
2019-06-25 07:25:00,8
2019-06-25 07:26:00,2
2019-06-25 07:27:00,2
2019-06-25 07:28:00,6
2019-06-25 07:29:00,7
2019-06-25 07:30:00,6
2019-06-25 07:31:00,14
2019-06-25 07:32:00,6
2019-06-25 07:33:00,1
2019-06-25 07:34:00,4
2019-06-25 07:35:00,13
2019-06-25 07:36:00,13
2019-06-25 07:37:00,2
2019-06-25 07:38:00,3
2019-06-25 07:39:00,6
2019-06-25 07:40:00,6
2019-06-25 07:41:00,6
2019-06-25 07:42:00,16
2019-06-25 07:43:00,10
2019-06-25 07:44:00,13
2019-06-25 07:46:00,2
2019-06-25 07:47:00,5
2019-06-25 07:48:00,8
2019-06-25 07:49:00,12
2019-06-25 07:50:00,19
2019-06-25 07:51:00,3
2019-06-25 07:52:00,1
2019-06-25 07:53:00,7
2019-06-25 07:54:00,24
2019-06-25 07:55:00,24
2019-06-25 07:56:00,12
2019-06-25 07:57:00,9
2019-06-25 07:58:00,7
2019-06-25 07:59:00,2
2019-06-25 08:00:00,2
2019-06-25 08:01:00,4
2019-06-25 08:02:00,1
2019-06-25 08:03:00,2
2019-06-25 08:04:00,1
2019-06-25 08:06:00,1
2019-06-25 08:07:00,3
2019-06-25 08:08:00,6
2019-06-25 08:10:00,1
2019-06-25 08:13:00,1
2019-06-25 08:15:00,5
2019-06-25 08:16:00,2
2019-06-25 08:17:00,1
2019-06-25 08:18:00,3
2019-06-25 08:19:00,6
2019-06-25 08:20:00,6
2019-06-25 08:21:00,6
2019-06-25 08:22:00,6
2019-06-25 08:23:00,4
2019-06-25 08:24:00,2
2019-06-25 08:26:00,3
2019-06-25 08:27:00,2
2019-06-25 08:28:00,7
2019-06-25 08:29:00,6
2019-06-25 08:30:00,3
2019-06-25 08:31:00,12
2019-06-25 08:32:00,14
2019-06-25 08:33:00,10
2019-06-25 08:34:00,6
2019-06-25 08:35:00,19
2019-06-25 08:36:00,18
2019-06-25 08:37:00,3
2019-06-25 08:38:00,1
2019-06-25 08:41:00,6
2019-06-25 08:42:00,5
2019-06-25 08:43:00,11
2019-06-25 08:44:00,12
2019-06-25 08:45:00,12
2019-06-25 08:46:00,10
2019-06-25 08:47:00,7
