5,"select top # p.objid, p.ra, p.dec from photoobj p where p.u > #  and p.g > #  and p.r > #  and p.i > #  and p.z > #"
2019-06-25 14:39:00,1
2019-06-25 14:40:00,1
2019-06-25 14:41:00,2
2019-06-25 14:49:00,1
