8,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid from star p, specobj s, dbo.fgetNearByObjEq(#, #,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid"
2019-09-21 18:59:00,1
2019-09-21 19:01:00,1
2019-09-21 19:02:00,1
2019-09-21 19:03:00,2
2019-09-21 19:05:00,1
2019-09-21 19:09:00,1
2019-09-21 19:15:00,1
