236,"SELECT p.ra,p.dec,   p.psfmag_g,p.psfMagErr_g,   p.psfmag_r,p.psfMagErr_r,   p.psfmag_i,p.psfMagErr_i,   p.psfmag_z,p.psfMagErr_z,   f.mjd_r,f.mjd_g,f.mjd_i,f.mjd_z   FROM PhotoObjAll p   JOIN field as f on p.fieldid = f.fieldid   WHERE ra between # and #   and dec between # and #   and p.parentID = #   order by f.mjd_r"
2019-09-21 00:02:00,1
2019-09-21 00:05:00,1
2019-09-21 00:10:00,1
2019-09-21 00:14:00,1
2019-09-21 00:18:00,1
2019-09-21 00:22:00,1
2019-09-21 00:26:00,1
2019-09-21 00:28:00,1
2019-09-21 00:32:00,1
2019-09-21 00:36:00,1
2019-09-21 00:38:00,1
2019-09-21 00:40:00,1
2019-09-21 00:45:00,1
2019-09-21 00:49:00,1
2019-09-21 00:52:00,1
2019-09-21 00:56:00,1
2019-09-21 01:00:00,1
2019-09-21 01:01:00,1
2019-09-21 01:05:00,1
2019-09-21 01:09:00,1
2019-09-21 01:11:00,1
2019-09-21 01:15:00,1
2019-09-21 01:19:00,2
2019-09-21 01:23:00,1
2019-09-21 01:24:00,1
2019-09-21 01:27:00,1
2019-09-21 01:30:00,1
2019-09-21 01:34:00,1
2019-09-21 01:38:00,1
2019-09-21 01:42:00,1
2019-09-21 01:47:00,1
2019-09-21 01:51:00,1
2019-09-21 01:56:00,1
2019-09-21 02:01:00,1
2019-09-21 02:08:00,1
2019-09-21 02:11:00,1
2019-09-21 02:13:00,1
2019-09-21 02:19:00,1
2019-09-21 02:24:00,1
2019-09-21 02:27:00,1
2019-09-21 02:30:00,1
2019-09-21 06:18:00,1
2019-09-21 06:46:00,1
2019-09-21 06:59:00,1
2019-09-21 07:00:00,1
2019-09-21 07:04:00,1
2019-09-21 07:08:00,1
2019-09-21 07:12:00,1
2019-09-21 07:16:00,1
2019-09-21 07:24:00,1
2019-09-21 07:28:00,1
2019-09-21 07:29:00,1
2019-09-21 07:34:00,1
2019-09-21 07:38:00,1
2019-09-21 07:43:00,1
2019-09-21 07:46:00,1
2019-09-21 07:50:00,1
2019-09-21 07:51:00,1
2019-09-21 07:52:00,1
2019-09-21 07:59:00,1
2019-09-21 08:03:00,1
2019-09-21 08:07:00,1
2019-09-21 08:10:00,1
2019-09-21 08:14:00,1
2019-09-21 08:19:00,1
2019-09-21 08:26:00,1
2019-09-21 08:31:00,1
2019-09-21 08:36:00,1
2019-09-21 08:38:00,1
2019-09-21 08:40:00,1
2019-09-21 08:43:00,1
2019-09-21 08:50:00,1
2019-09-21 08:54:00,1
2019-09-21 08:57:00,1
2019-09-21 09:01:00,1
2019-09-21 09:02:00,1
2019-09-21 09:03:00,1
2019-09-21 09:06:00,1
2019-09-21 09:10:00,1
2019-09-21 09:13:00,1
2019-09-21 09:15:00,1
2019-09-21 09:19:00,1
2019-09-21 09:22:00,1
2019-09-21 09:27:00,1
2019-09-21 09:30:00,1
2019-09-21 09:34:00,1
2019-09-21 09:37:00,1
2019-09-21 09:38:00,1
2019-09-21 09:42:00,1
2019-09-21 09:45:00,1
2019-09-21 09:47:00,1
2019-09-21 09:50:00,2
2019-09-21 09:53:00,1
2019-09-21 09:56:00,1
2019-09-21 10:00:00,1
2019-09-21 10:03:00,1
2019-09-21 10:07:00,1
2019-09-21 10:10:00,1
2019-09-21 10:12:00,1
2019-09-21 10:14:00,1
2019-09-21 10:18:00,1
2019-09-21 10:23:00,1
2019-09-21 10:28:00,1
2019-09-21 10:29:00,1
2019-09-21 10:33:00,1
2019-09-21 10:37:00,1
2019-09-21 10:40:00,1
2019-09-21 10:48:00,1
2019-09-21 10:51:00,1
2019-09-21 10:52:00,1
2019-09-21 10:57:00,1
2019-09-21 11:01:00,1
2019-09-21 11:08:00,1
2019-09-21 11:17:00,1
2019-09-21 11:21:00,1
2019-09-21 11:28:00,1
2019-09-21 11:37:00,1
2019-09-21 11:45:00,1
2019-09-21 12:11:00,1
2019-09-21 15:31:00,1
2019-09-21 15:40:00,1
2019-09-21 16:25:00,1
2019-09-21 16:29:00,1
2019-09-21 16:30:00,1
2019-09-21 16:31:00,1
2019-09-21 16:34:00,1
2019-09-21 16:35:00,1
2019-09-21 16:37:00,1
2019-09-21 16:42:00,1
2019-09-21 16:49:00,1
2019-09-21 16:50:00,1
2019-09-21 16:56:00,1
2019-09-21 16:57:00,1
2019-09-21 16:59:00,1
2019-09-21 17:02:00,1
2019-09-21 17:04:00,1
2019-09-21 17:08:00,1
2019-09-21 17:12:00,1
2019-09-21 17:18:00,1
2019-09-21 17:23:00,1
2019-09-21 17:25:00,1
2019-09-21 17:29:00,1
2019-09-21 17:38:00,1
2019-09-21 17:42:00,1
2019-09-21 17:43:00,1
2019-09-21 17:47:00,1
2019-09-21 17:50:00,1
2019-09-21 17:53:00,1
