110,"SELECT ra,dec,u,err_u,g,err_g,r,err_r,i,err_i,z,err_z FROM Star WHERE ra BETWEEN # AND # AND dec BETWEEN # and # AND g<#"
2019-09-21 13:54:00,1
2019-09-21 13:58:00,1
2019-09-21 13:59:00,1
2019-09-21 14:02:00,1
2019-09-21 14:04:00,1
2019-09-21 14:08:00,1
2019-09-21 14:10:00,1
2019-09-21 14:15:00,1
2019-09-21 14:16:00,1
2019-09-21 14:19:00,1
2019-09-21 14:20:00,1
2019-09-21 14:22:00,1
2019-09-21 14:24:00,1
2019-09-21 14:27:00,1
2019-09-21 14:31:00,2
2019-09-21 14:32:00,1
2019-09-21 14:37:00,1
2019-09-21 14:42:00,1
2019-09-21 14:48:00,1
2019-09-21 14:49:00,1
2019-09-21 14:50:00,1
2019-09-21 14:52:00,1
2019-09-21 14:56:00,1
2019-09-21 14:58:00,1
2019-09-21 15:01:00,1
2019-09-21 15:03:00,1
2019-09-21 15:11:00,1
2019-09-21 15:14:00,1
2019-09-21 15:17:00,2
2019-09-21 15:24:00,1
2019-09-21 15:27:00,1
2019-09-21 15:36:00,1
2019-09-21 15:37:00,1
2019-09-21 15:38:00,1
2019-09-21 15:39:00,1
2019-09-21 15:42:00,1
2019-09-21 15:45:00,1
2019-09-21 15:47:00,1
2019-09-21 15:48:00,2
2019-09-21 15:52:00,1
2019-09-21 15:54:00,1
2019-09-21 16:00:00,1
2019-09-21 16:03:00,1
2019-09-21 16:22:00,1
2019-09-21 16:23:00,1
2019-09-21 16:31:00,1
2019-09-21 16:32:00,1
2019-09-21 16:39:00,2
2019-09-21 16:46:00,1
2019-09-21 16:47:00,1
2019-09-21 16:53:00,1
2019-09-21 16:54:00,1
2019-09-21 16:59:00,1
2019-09-21 17:01:00,1
2019-09-21 17:04:00,1
2019-09-21 17:05:00,1
2019-09-21 17:09:00,1
2019-09-21 17:12:00,2
2019-09-21 17:16:00,1
2019-09-21 17:18:00,1
2019-09-21 17:20:00,2
2019-09-21 17:24:00,1
2019-09-21 17:27:00,1
2019-09-21 17:30:00,1
2019-09-21 17:31:00,1
2019-09-21 17:38:00,1
2019-09-21 17:44:00,1
2019-09-21 17:46:00,1
2019-09-21 17:49:00,1
2019-09-21 17:55:00,1
2019-09-21 17:56:00,1
2019-09-21 17:57:00,1
2019-09-21 18:00:00,1
2019-09-21 18:01:00,1
2019-09-21 18:04:00,1
2019-09-21 18:07:00,1
2019-09-21 18:08:00,1
2019-09-21 18:11:00,1
2019-09-21 18:12:00,1
2019-09-21 18:13:00,1
2019-09-21 18:14:00,1
2019-09-21 18:18:00,1
2019-09-21 18:20:00,3
2019-09-21 18:23:00,1
2019-09-21 18:27:00,1
2019-09-21 18:31:00,1
2019-09-21 18:34:00,2
2019-09-21 18:39:00,1
2019-09-21 18:41:00,1
2019-09-21 18:43:00,2
2019-09-21 18:45:00,1
2019-09-21 18:48:00,1
2019-09-21 18:51:00,1
2019-09-21 18:55:00,1
2019-09-21 18:58:00,1
2019-09-21 19:03:00,1
2019-09-21 19:04:00,1
2019-09-21 19:05:00,1
2019-09-21 19:08:00,1
2019-09-21 19:10:00,1
