5,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid from galaxy p, specobj s, dbo.fgetNearByObjEq(#, #,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid"
2019-09-21 19:22:00,2
2019-09-21 19:24:00,1
2019-09-21 19:28:00,1
2019-09-21 19:29:00,1
