311,"select plate, mjd, fiberID from dbo.fGetNearbySpecObjAllEq(#, #, #)"
2019-09-21 02:48:00,8
2019-09-21 02:49:00,4
2019-09-21 02:50:00,5
2019-09-21 02:51:00,4
2019-09-21 02:52:00,2
2019-09-21 02:53:00,4
2019-09-21 02:54:00,1
2019-09-21 02:55:00,2
2019-09-21 02:56:00,2
2019-09-21 03:00:00,1
2019-09-21 03:01:00,2
2019-09-21 03:02:00,5
2019-09-21 03:03:00,2
2019-09-21 03:04:00,4
2019-09-21 03:05:00,1
2019-09-21 03:12:00,3
2019-09-21 03:13:00,1
2019-09-21 03:14:00,1
2019-09-21 03:15:00,1
2019-09-21 03:16:00,1
2019-09-21 03:19:00,2
2019-09-21 03:20:00,1
2019-09-21 03:22:00,3
2019-09-21 03:23:00,4
2019-09-21 03:24:00,1
2019-09-21 03:43:00,3
2019-09-21 03:44:00,3
2019-09-21 03:45:00,4
2019-09-21 03:46:00,8
2019-09-21 03:47:00,5
2019-09-21 03:48:00,5
2019-09-21 03:49:00,7
2019-09-21 03:50:00,7
2019-09-21 03:51:00,8
2019-09-21 03:52:00,9
2019-09-21 03:53:00,8
2019-09-21 03:54:00,10
2019-09-21 03:55:00,7
2019-09-21 16:14:00,3
2019-09-21 16:15:00,5
2019-09-21 16:17:00,1
2019-09-21 16:18:00,2
2019-09-21 16:19:00,4
2019-09-21 16:20:00,1
2019-09-21 16:21:00,3
2019-09-21 16:22:00,2
2019-09-21 16:23:00,1
2019-09-21 16:24:00,1
2019-09-21 16:25:00,1
2019-09-21 16:26:00,3
2019-09-21 16:27:00,1
2019-09-21 16:28:00,1
2019-09-21 16:29:00,2
2019-09-21 16:31:00,1
2019-09-21 16:36:00,1
2019-09-21 16:39:00,4
2019-09-21 16:40:00,1
2019-09-21 16:41:00,3
2019-09-21 16:42:00,1
2019-09-21 16:43:00,3
2019-09-21 16:44:00,2
2019-09-21 16:48:00,3
2019-09-21 16:49:00,2
2019-09-21 16:50:00,1
2019-09-21 16:51:00,1
2019-09-21 16:53:00,2
2019-09-21 16:55:00,1
2019-09-21 16:56:00,3
2019-09-21 16:57:00,2
2019-09-21 16:58:00,3
2019-09-21 16:59:00,2
2019-09-21 17:00:00,1
2019-09-21 17:01:00,2
2019-09-21 17:04:00,2
2019-09-21 17:05:00,2
2019-09-21 17:06:00,1
2019-09-21 17:07:00,1
2019-09-21 17:08:00,1
2019-09-21 17:09:00,2
2019-09-21 17:10:00,2
2019-09-21 17:12:00,1
2019-09-21 17:14:00,1
2019-09-21 17:15:00,1
2019-09-21 17:17:00,2
2019-09-21 17:20:00,2
2019-09-21 17:21:00,3
2019-09-21 17:22:00,8
2019-09-21 17:23:00,1
2019-09-21 17:24:00,3
2019-09-21 17:25:00,3
2019-09-21 17:26:00,1
2019-09-21 17:27:00,2
2019-09-21 17:28:00,3
2019-09-21 17:29:00,4
2019-09-21 17:30:00,7
2019-09-21 17:31:00,5
2019-09-21 17:32:00,1
2019-09-21 17:33:00,4
2019-09-21 17:34:00,6
2019-09-21 17:35:00,4
2019-09-21 17:36:00,3
2019-09-21 17:37:00,2
2019-09-21 17:38:00,9
2019-09-21 17:39:00,5
