170,"select plate, mjd, fiberID from dbo.fGetNearbySpecObjAllEq(#, #, #)"
2019-09-22 02:19:00,6
2019-09-22 02:20:00,4
2019-09-22 02:21:00,5
2019-09-22 02:22:00,3
2019-09-22 02:23:00,3
2019-09-22 02:24:00,1
2019-09-22 02:25:00,4
2019-09-22 02:26:00,1
2019-09-22 02:27:00,1
2019-09-22 02:28:00,2
2019-09-22 02:29:00,1
2019-09-22 02:30:00,1
2019-09-22 02:35:00,1
2019-09-22 02:37:00,2
2019-09-22 02:38:00,4
2019-09-22 02:39:00,2
2019-09-22 02:40:00,2
2019-09-22 02:41:00,3
2019-09-22 02:42:00,1
2019-09-22 02:44:00,1
2019-09-22 02:45:00,3
2019-09-22 02:46:00,2
2019-09-22 02:47:00,1
2019-09-22 02:48:00,1
2019-09-22 02:49:00,1
2019-09-22 02:50:00,1
2019-09-22 02:51:00,3
2019-09-22 02:52:00,4
2019-09-22 02:53:00,3
2019-09-22 02:54:00,2
2019-09-22 02:55:00,1
2019-09-22 02:56:00,1
2019-09-22 02:57:00,2
2019-09-22 02:59:00,1
2019-09-22 03:00:00,2
2019-09-22 03:01:00,3
2019-09-22 03:03:00,1
2019-09-22 03:04:00,2
2019-09-22 03:05:00,2
2019-09-22 03:06:00,1
2019-09-22 03:07:00,8
2019-09-22 03:08:00,9
2019-09-22 03:09:00,9
2019-09-22 03:10:00,7
2019-09-22 03:20:00,1
2019-09-22 03:21:00,1
2019-09-22 03:24:00,1
2019-09-22 03:32:00,5
2019-09-22 03:33:00,8
2019-09-22 03:34:00,10
2019-09-22 03:35:00,9
2019-09-22 03:36:00,7
2019-09-22 03:37:00,1
2019-09-22 03:38:00,1
2019-09-22 03:39:00,1
2019-09-22 03:40:00,1
2019-09-22 03:41:00,1
2019-09-22 03:42:00,1
2019-09-22 03:43:00,1
2019-09-22 03:44:00,2
2019-09-22 03:45:00,1
