214,"select survey, run2d, plate,mjd, fiberID, specObjID from SpecObj where class = &&& and ra between # and # and dec between # and #"
2019-09-22 00:01:00,1
2019-09-22 00:02:00,1
2019-09-22 00:03:00,1
2019-09-22 00:05:00,1
2019-09-22 00:07:00,1
2019-09-22 00:08:00,2
2019-09-22 00:09:00,2
2019-09-22 00:10:00,1
2019-09-22 00:11:00,1
2019-09-22 00:13:00,1
2019-09-22 00:14:00,1
2019-09-22 00:15:00,1
2019-09-22 00:16:00,1
2019-09-22 00:18:00,2
2019-09-22 00:20:00,2
2019-09-22 00:21:00,2
2019-09-22 00:22:00,1
2019-09-22 00:24:00,2
2019-09-22 00:25:00,1
2019-09-22 00:26:00,2
2019-09-22 00:27:00,1
2019-09-22 00:29:00,2
2019-09-22 00:30:00,1
2019-09-22 00:32:00,2
2019-09-22 00:33:00,1
2019-09-22 00:34:00,1
2019-09-22 00:35:00,1
2019-09-22 00:36:00,1
2019-09-22 00:37:00,1
2019-09-22 00:38:00,1
2019-09-22 00:39:00,2
2019-09-22 00:40:00,2
2019-09-22 00:42:00,1
2019-09-22 00:44:00,2
2019-09-22 00:45:00,2
2019-09-22 00:46:00,1
2019-09-22 00:48:00,2
2019-09-22 00:49:00,2
2019-09-22 00:50:00,2
2019-09-22 00:52:00,3
2019-09-22 00:53:00,1
2019-09-22 00:54:00,1
2019-09-22 00:55:00,1
2019-09-22 00:56:00,1
2019-09-22 00:57:00,1
2019-09-22 00:58:00,1
2019-09-22 01:00:00,1
2019-09-22 01:01:00,2
2019-09-22 01:04:00,1
2019-09-22 01:05:00,1
2019-09-22 01:06:00,2
2019-09-22 01:07:00,1
2019-09-22 01:08:00,1
2019-09-22 01:10:00,2
2019-09-22 01:15:00,1
2019-09-22 01:17:00,2
2019-09-22 01:18:00,1
2019-09-22 01:19:00,1
2019-09-22 01:20:00,1
2019-09-22 01:21:00,2
2019-09-22 01:22:00,1
2019-09-22 01:23:00,1
2019-09-22 01:24:00,1
2019-09-22 01:25:00,1
2019-09-22 01:26:00,1
2019-09-22 01:27:00,1
2019-09-22 01:28:00,1
2019-09-22 01:29:00,3
2019-09-22 01:31:00,1
2019-09-22 01:32:00,1
2019-09-22 01:33:00,1
2019-09-22 01:34:00,2
2019-09-22 01:35:00,2
2019-09-22 01:37:00,2
2019-09-22 01:38:00,2
2019-09-22 01:39:00,1
2019-09-22 01:40:00,2
2019-09-22 01:41:00,2
2019-09-22 01:43:00,2
2019-09-22 01:44:00,1
2019-09-22 01:47:00,2
2019-09-22 01:48:00,2
2019-09-22 01:49:00,1
2019-09-22 01:50:00,1
2019-09-22 01:51:00,1
2019-09-22 01:53:00,1
2019-09-22 01:55:00,1
2019-09-22 01:56:00,2
2019-09-22 01:58:00,1
2019-09-22 01:59:00,1
2019-09-22 02:00:00,2
2019-09-22 02:01:00,2
2019-09-22 02:03:00,1
2019-09-22 02:04:00,1
2019-09-22 02:05:00,1
2019-09-22 02:07:00,1
2019-09-22 02:08:00,2
2019-09-22 02:10:00,1
2019-09-22 02:11:00,3
2019-09-22 02:13:00,1
2019-09-22 02:14:00,2
2019-09-22 02:15:00,1
2019-09-22 02:17:00,1
2019-09-22 02:18:00,3
2019-09-22 02:19:00,1
2019-09-22 02:20:00,2
2019-09-22 02:21:00,1
2019-09-22 02:22:00,2
2019-09-22 02:23:00,1
2019-09-22 02:24:00,1
2019-09-22 02:25:00,2
2019-09-22 02:26:00,3
2019-09-22 02:27:00,1
2019-09-22 02:28:00,2
2019-09-22 02:29:00,2
2019-09-22 02:30:00,2
2019-09-22 02:31:00,2
2019-09-22 02:32:00,2
2019-09-22 02:33:00,1
2019-09-22 02:34:00,1
2019-09-22 02:35:00,2
2019-09-22 02:36:00,2
2019-09-22 02:39:00,1
2019-09-22 02:40:00,3
2019-09-22 02:41:00,1
2019-09-22 02:42:00,1
2019-09-22 02:43:00,3
2019-09-22 02:44:00,1
2019-09-22 02:45:00,1
2019-09-22 02:46:00,3
2019-09-22 02:47:00,2
2019-09-22 02:49:00,3
2019-09-22 02:50:00,3
2019-09-22 02:51:00,2
2019-09-22 02:52:00,2
2019-09-22 02:53:00,1
2019-09-22 02:54:00,2
2019-09-22 02:55:00,1
2019-09-22 02:56:00,1
2019-09-22 02:57:00,2
2019-09-22 02:58:00,2
2019-09-22 02:59:00,2
