14,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-09-22 00:05:00,1
2019-09-22 02:09:00,1
2019-09-22 04:10:00,1
2019-09-22 09:34:00,1
2019-09-22 10:21:00,1
2019-09-22 11:19:00,1
2019-09-22 11:40:00,1
2019-09-22 12:17:00,1
2019-09-22 12:59:00,1
2019-09-22 13:12:00,1
2019-09-22 14:33:00,1
2019-09-22 15:28:00,1
2019-09-22 17:10:00,1
2019-09-22 22:50:00,1
