12,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID  AND p.u BETWEEN # AND #"
2019-09-22 09:19:00,1
2019-09-22 09:34:00,1
2019-09-22 10:21:00,1
2019-09-22 11:19:00,2
2019-09-22 11:40:00,1
2019-09-22 12:17:00,1
2019-09-22 12:59:00,1
2019-09-22 13:12:00,1
2019-09-22 13:31:00,1
2019-09-22 14:33:00,1
2019-09-22 15:28:00,1
