18,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z>#  and abs(#*(#-q.z))<#"
2019-09-22 10:24:00,1
2019-09-22 10:25:00,1
2019-09-22 10:30:00,1
2019-09-22 10:32:00,1
2019-09-22 11:25:00,1
2019-09-22 11:30:00,1
2019-09-22 13:17:00,1
2019-09-22 13:19:00,1
2019-09-22 13:22:00,1
2019-09-22 13:23:00,1
2019-09-22 13:25:00,1
2019-09-22 13:27:00,1
2019-09-22 13:28:00,1
2019-09-22 13:29:00,1
2019-09-22 15:08:00,1
2019-09-22 16:31:00,1
2019-09-22 16:32:00,1
2019-09-22 18:05:00,1
