54,select and #>#
2019-09-22 00:00:00,1
2019-09-22 01:29:00,1
2019-09-22 01:32:00,1
2019-09-22 01:50:00,1
2019-09-22 02:03:00,1
2019-09-22 02:07:00,1
2019-09-22 03:09:00,1
2019-09-22 03:14:00,1
2019-09-22 03:22:00,1
2019-09-22 03:34:00,1
2019-09-22 03:42:00,1
2019-09-22 04:08:00,1
2019-09-22 04:27:00,1
2019-09-22 04:53:00,1
2019-09-22 04:58:00,1
2019-09-22 05:35:00,1
2019-09-22 05:40:00,1
2019-09-22 05:54:00,1
2019-09-22 06:09:00,1
2019-09-22 06:18:00,1
2019-09-22 06:43:00,1
2019-09-22 07:44:00,1
2019-09-22 08:02:00,1
2019-09-22 08:13:00,1
2019-09-22 08:16:00,1
2019-09-22 08:30:00,1
2019-09-22 08:44:00,1
2019-09-22 08:52:00,1
2019-09-22 08:56:00,1
2019-09-22 09:21:00,1
2019-09-22 09:30:00,1
2019-09-22 09:32:00,1
2019-09-22 09:40:00,1
2019-09-22 09:57:00,1
2019-09-22 10:12:00,1
2019-09-22 10:20:00,1
2019-09-22 10:27:00,1
2019-09-22 10:39:00,1
2019-09-22 10:50:00,1
2019-09-22 11:30:00,1
2019-09-22 11:37:00,1
2019-09-22 11:41:00,1
2019-09-22 11:50:00,1
2019-09-22 11:59:00,1
2019-09-22 12:26:00,1
2019-09-22 12:58:00,1
2019-09-22 13:07:00,1
2019-09-22 13:39:00,1
2019-09-22 13:52:00,1
2019-09-22 14:03:00,1
2019-09-22 14:30:00,1
2019-09-22 14:49:00,1
2019-09-22 14:53:00,1
2019-09-22 14:58:00,1
