107,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-31 06:01:00,1
2019-03-31 06:05:00,1
2019-03-31 06:08:00,1
2019-03-31 06:20:00,2
2019-03-31 07:00:00,8
2019-03-31 07:05:00,11
2019-03-31 07:35:00,2
2019-03-31 07:45:00,4
2019-03-31 08:05:00,2
2019-03-31 08:35:00,3
2019-03-31 08:40:00,2
2019-03-31 08:45:00,1
2019-03-31 08:50:00,8
2019-03-31 08:55:00,2
2019-03-31 09:05:00,1
2019-03-31 09:15:00,4
2019-03-31 09:20:00,1
2019-03-31 10:01:00,1
2019-03-31 10:31:00,1
2019-03-31 10:34:00,1
2019-03-31 10:35:00,6
2019-03-31 10:40:00,2
2019-03-31 12:05:00,6
2019-03-31 12:10:00,5
2019-03-31 13:05:00,4
2019-03-31 13:10:00,1
2019-03-31 13:45:00,1
2019-03-31 13:55:00,5
2019-03-31 14:00:00,3
2019-03-31 14:50:00,7
2019-03-31 19:05:00,1
2019-03-31 19:30:00,1
2019-03-31 23:45:00,8
