18,"SELECT DISTINCT p.ra, p.dec, p.type, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, p.cModelMag_u, p.cModelMag_g, p.cModelMag_r, p.cModelMag_i, p.cModelMag_z, p.cModelMagErr_u, p.cModelMagErr_g, p.cModelMagErr_r, p.cModelMagErr_i, p.cModelMagErr_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-03-31 08:55:00,1
2019-03-31 09:15:00,1
2019-03-31 09:31:00,1
2019-03-31 11:36:00,1
2019-03-31 11:50:00,1
2019-03-31 12:07:00,1
2019-03-31 12:30:00,1
2019-03-31 13:06:00,1
2019-03-31 13:53:00,1
2019-03-31 14:19:00,1
2019-03-31 14:32:00,1
2019-03-31 17:06:00,1
2019-03-31 17:12:00,1
2019-03-31 17:27:00,1
2019-03-31 17:36:00,1
2019-03-31 17:42:00,1
2019-03-31 17:54:00,1
2019-03-31 18:05:00,1
