16,"SELECT TOP #  p.objid,p.ra,p.dec,p.u,p.g,p.r,p.i,p.z,  p.run, p.rerun, p.camcol, p.field,  s.specobjid, s.class, s.z as redshift,  s.plate, s.mjd, s.fiberid FROM PhotoObj AS p  JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE   p.u BETWEEN # AND #  AND g BETWEEN # AND #"
2019-03-31 00:48:00,1
2019-03-31 02:25:00,1
2019-03-31 08:31:00,1
2019-03-31 08:33:00,1
2019-03-31 09:38:00,1
2019-03-31 09:41:00,1
2019-03-31 11:07:00,1
2019-03-31 11:08:00,1
2019-03-31 14:49:00,1
2019-03-31 17:47:00,1
2019-03-31 19:00:00,1
2019-03-31 19:21:00,1
2019-03-31 19:43:00,1
2019-03-31 21:04:00,1
2019-03-31 21:28:00,1
2019-03-31 23:55:00,1
