1432,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-31 12:33:00,28
2019-03-31 12:34:00,70
2019-03-31 12:35:00,92
2019-03-31 12:37:00,28
2019-03-31 12:38:00,60
2019-03-31 12:39:00,12
2019-03-31 12:40:00,148
2019-03-31 12:42:00,26
2019-03-31 12:43:00,26
2019-03-31 12:47:00,30
2019-03-31 12:49:00,17
2019-03-31 12:50:00,73
2019-03-31 12:51:00,145
2019-03-31 12:52:00,1
2019-03-31 12:53:00,6
2019-03-31 12:54:00,49
2019-03-31 12:55:00,36
2019-03-31 12:57:00,16
2019-03-31 13:00:00,28
2019-03-31 13:02:00,17
2019-03-31 13:03:00,19
2019-03-31 13:13:00,12
2019-03-31 13:19:00,71
2019-03-31 13:22:00,23
2019-03-31 13:23:00,89
2019-03-31 13:32:00,59
2019-03-31 13:37:00,16
2019-03-31 13:51:00,29
2019-03-31 13:55:00,63
2019-03-31 13:58:00,10
2019-03-31 13:59:00,9
2019-03-31 14:01:00,8
2019-03-31 14:02:00,32
2019-03-31 14:03:00,12
2019-03-31 14:06:00,72
