146,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec),r.z,r.Zerr FROM Galaxy as p, photoz as r WHERE p.ObjID=r.ObjID and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-03-31 15:01:00,1
2019-03-31 15:03:00,4
2019-03-31 15:04:00,5
2019-03-31 15:05:00,2
2019-03-31 15:08:00,1
2019-03-31 15:09:00,1
2019-03-31 15:10:00,1
2019-03-31 15:17:00,2
2019-03-31 15:18:00,3
2019-03-31 15:19:00,2
2019-03-31 15:20:00,4
2019-03-31 15:21:00,1
2019-03-31 15:23:00,2
2019-03-31 15:24:00,4
2019-03-31 15:25:00,5
2019-03-31 15:28:00,1
2019-03-31 15:29:00,1
2019-03-31 15:30:00,2
2019-03-31 15:45:00,2
2019-03-31 15:46:00,3
2019-03-31 15:47:00,2
2019-03-31 15:49:00,2
2019-03-31 15:50:00,2
2019-03-31 15:51:00,2
2019-03-31 15:57:00,3
2019-03-31 15:58:00,1
2019-03-31 15:59:00,13
2019-03-31 16:00:00,14
2019-03-31 16:01:00,11
2019-03-31 16:03:00,3
2019-03-31 16:04:00,1
2019-03-31 16:05:00,9
2019-03-31 16:06:00,3
2019-03-31 16:12:00,2
2019-03-31 16:24:00,1
2019-03-31 16:25:00,6
2019-03-31 16:26:00,8
2019-03-31 16:27:00,5
2019-03-31 16:28:00,9
2019-03-31 16:29:00,1
2019-03-31 16:31:00,1
