61,"SELECT  s.objid,sz.ra as ra,sz.dec as dec,pz.z as photoz,pz.zerr as photozerr,sz.z as specz,pz.photoErrorClass as photozErrClass,sz.z as specz, sz.zerr as speczerr,b.distance as proj_sep,s.modelMag_u as umag,s.modelMagErr_u as umagerr, s.modelMag_g as gmag,s.modelMagErr_g as gmagerr,s.modelMag_r as rmag, s.modelMagerr_r as rmagerr, s.type as obj_type  FROM BESTDR1#..PhotoObjAll as s  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = S.objID  JOIN Photoz as pz ON pz.objid = s.objid  JOIN specObjAll as sz ON sz.bestobjid = s.objid  WHERE (s.type=# and pz.z > # and pz.z < #)"
2019-03-31 15:25:00,2
2019-03-31 15:26:00,5
2019-03-31 15:27:00,5
2019-03-31 15:28:00,4
2019-03-31 15:29:00,6
2019-03-31 15:30:00,4
2019-03-31 15:31:00,6
2019-03-31 15:32:00,5
2019-03-31 15:33:00,6
2019-03-31 15:34:00,4
2019-03-31 15:35:00,6
2019-03-31 15:36:00,5
2019-03-31 15:37:00,3
