19,"SELECT TOP # bestobjid, z FROM SpecObj WHERE class = &&& AND zWarning = # AND z BETWEEN # AND # ORDER BY NEWID()"
2019-03-31 08:10:00,1
2019-03-31 08:11:00,2
2019-03-31 17:58:00,1
2019-03-31 18:21:00,2
2019-03-31 18:40:00,1
2019-03-31 19:03:00,1
2019-03-31 19:26:00,1
2019-03-31 19:47:00,1
2019-03-31 20:03:00,1
2019-03-31 20:23:00,1
2019-03-31 20:42:00,1
2019-03-31 20:47:00,1
2019-03-31 20:48:00,1
2019-03-31 20:50:00,1
2019-03-31 20:53:00,1
2019-03-31 20:56:00,1
2019-03-31 21:00:00,1
