534,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-11 00:16:00,11
2019-06-11 00:17:00,40
2019-06-11 00:20:00,1
2019-06-11 00:21:00,265
2019-06-11 00:22:00,195
2019-06-11 09:53:00,1
2019-06-11 09:54:00,1
2019-06-11 09:57:00,1
2019-06-11 16:20:00,1
2019-06-11 16:23:00,1
2019-06-11 16:26:00,1
2019-06-11 16:28:00,1
2019-06-11 16:31:00,1
2019-06-11 16:38:00,1
2019-06-11 19:41:00,1
2019-06-11 19:49:00,1
2019-06-11 19:53:00,1
2019-06-11 19:54:00,1
2019-06-11 19:55:00,1
2019-06-11 19:56:00,1
2019-06-11 20:02:00,1
2019-06-11 20:06:00,3
2019-06-11 20:08:00,1
2019-06-11 20:09:00,1
2019-06-11 20:24:00,1
