183,select * from Frame where fieldId=#
2019-06-11 00:27:00,1
2019-06-11 00:57:00,1
2019-06-11 00:59:00,1
2019-06-11 01:15:00,1
2019-06-11 01:35:00,1
2019-06-11 01:46:00,1
2019-06-11 02:12:00,1
2019-06-11 04:17:00,1
2019-06-11 04:39:00,1
2019-06-11 04:54:00,1
2019-06-11 05:11:00,1
2019-06-11 05:17:00,1
2019-06-11 05:19:00,1
2019-06-11 05:49:00,1
2019-06-11 06:19:00,1
2019-06-11 06:23:00,1
2019-06-11 06:27:00,1
2019-06-11 06:33:00,1
2019-06-11 06:36:00,1
2019-06-11 06:39:00,1
2019-06-11 06:44:00,1
2019-06-11 06:48:00,1
2019-06-11 06:51:00,1
2019-06-11 06:54:00,2
2019-06-11 06:57:00,1
2019-06-11 07:00:00,1
2019-06-11 07:04:00,1
2019-06-11 07:10:00,2
2019-06-11 07:13:00,1
2019-06-11 07:17:00,1
2019-06-11 07:20:00,1
2019-06-11 07:23:00,1
2019-06-11 07:26:00,1
2019-06-11 07:29:00,1
2019-06-11 07:32:00,1
2019-06-11 07:35:00,1
2019-06-11 07:38:00,1
2019-06-11 07:42:00,1
2019-06-11 07:45:00,1
2019-06-11 07:48:00,1
2019-06-11 07:51:00,1
2019-06-11 07:55:00,1
2019-06-11 07:58:00,1
2019-06-11 08:02:00,1
2019-06-11 08:06:00,1
2019-06-11 08:10:00,1
2019-06-11 08:13:00,1
2019-06-11 08:17:00,2
2019-06-11 08:20:00,1
2019-06-11 08:24:00,1
2019-06-11 08:27:00,1
2019-06-11 08:31:00,1
2019-06-11 08:33:00,1
2019-06-11 08:35:00,1
2019-06-11 08:38:00,1
2019-06-11 08:41:00,1
2019-06-11 08:45:00,1
2019-06-11 08:49:00,2
2019-06-11 08:52:00,1
2019-06-11 08:56:00,1
2019-06-11 09:00:00,1
2019-06-11 09:04:00,1
2019-06-11 09:08:00,1
2019-06-11 09:11:00,1
2019-06-11 09:16:00,1
2019-06-11 09:20:00,1
2019-06-11 09:24:00,1
2019-06-11 09:28:00,1
2019-06-11 09:32:00,1
2019-06-11 09:36:00,1
2019-06-11 09:40:00,1
2019-06-11 09:44:00,1
2019-06-11 09:48:00,1
2019-06-11 09:52:00,1
2019-06-11 09:56:00,1
2019-06-11 10:00:00,1
2019-06-11 10:05:00,1
2019-06-11 10:09:00,1
2019-06-11 10:14:00,1
2019-06-11 10:18:00,1
2019-06-11 10:22:00,1
2019-06-11 10:27:00,1
2019-06-11 10:31:00,1
2019-06-11 10:36:00,1
2019-06-11 10:40:00,1
2019-06-11 10:44:00,1
2019-06-11 10:48:00,1
2019-06-11 10:52:00,1
2019-06-11 10:56:00,1
2019-06-11 11:00:00,1
2019-06-11 11:05:00,1
2019-06-11 11:09:00,1
2019-06-11 11:13:00,1
2019-06-11 11:14:00,1
2019-06-11 11:19:00,1
2019-06-11 11:23:00,1
2019-06-11 11:27:00,1
2019-06-11 11:31:00,1
2019-06-11 11:36:00,1
2019-06-11 11:40:00,1
2019-06-11 11:44:00,1
2019-06-11 11:49:00,1
2019-06-11 11:53:00,1
2019-06-11 11:57:00,2
2019-06-11 12:00:00,1
2019-06-11 12:02:00,1
2019-06-11 12:03:00,1
2019-06-11 12:04:00,1
2019-06-11 12:08:00,1
2019-06-11 12:13:00,1
2019-06-11 12:18:00,1
2019-06-11 12:19:00,2
2019-06-11 12:22:00,1
2019-06-11 12:26:00,1
2019-06-11 12:30:00,1
2019-06-11 12:34:00,1
2019-06-11 12:38:00,1
2019-06-11 12:42:00,1
2019-06-11 12:46:00,1
2019-06-11 12:50:00,2
2019-06-11 12:54:00,1
2019-06-11 12:58:00,1
2019-06-11 13:02:00,1
2019-06-11 13:09:00,1
2019-06-11 13:13:00,1
2019-06-11 13:15:00,1
2019-06-11 13:17:00,1
2019-06-11 13:25:00,1
2019-06-11 14:08:00,1
2019-06-11 14:31:00,1
2019-06-11 14:51:00,1
2019-06-11 15:24:00,4
2019-06-11 15:44:00,1
2019-06-11 16:02:00,1
2019-06-11 16:38:00,1
2019-06-11 16:54:00,1
2019-06-11 17:39:00,1
2019-06-11 17:50:00,1
2019-06-11 17:55:00,1
2019-06-11 18:20:00,1
2019-06-11 18:32:00,1
2019-06-11 19:42:00,4
2019-06-11 20:39:00,1
2019-06-11 22:08:00,5
2019-06-11 22:09:00,9
2019-06-11 22:10:00,5
2019-06-11 22:19:00,1
2019-06-11 23:02:00,1
2019-06-11 23:29:00,1
2019-06-11 23:56:00,5
