22,"SELECT TOP #   p.u, p.g, p.r, p.i, p.z, s.class, s.z, s.zerr  FROM PhotoObj AS p   JOIN SpecObj AS s ON s.bestobjid = p.objid  WHERE   p.u BETWEEN # AND #   AND p.g BETWEEN # AND #   AND s.class <> &&&   AND s.class <> &&&   AND s.class <> &&&   AND s.class <> &&&"
2019-06-11 02:56:00,1
2019-06-11 02:57:00,2
2019-06-11 03:02:00,1
2019-06-11 15:10:00,1
2019-06-11 15:12:00,1
2019-06-11 17:32:00,3
2019-06-11 17:38:00,1
2019-06-11 17:51:00,3
2019-06-11 17:55:00,3
2019-06-11 17:57:00,1
2019-06-11 18:09:00,1
2019-06-11 19:17:00,1
2019-06-11 19:18:00,2
2019-06-11 19:25:00,1
