2,"SELECT objID, cModelMag_u, cModelMagErr_u, cModelMag_g, cModelMagErr_g, cModelMag_r, cModelMagErr_r, cModelMag_i, cModelMagErr_i
 FROM PhotoObjAll
 WHERE objID IN (
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #,
 #
 )"
2019-06-11 15:17:00,1
2019-06-11 15:19:00,1
