20,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-11 07:13:00,1
2019-06-11 08:04:00,1
2019-06-11 08:15:00,1
2019-06-11 13:13:00,1
2019-06-11 13:59:00,1
2019-06-11 14:02:00,1
2019-06-11 14:29:00,1
2019-06-11 14:39:00,1
2019-06-11 15:10:00,1
2019-06-11 15:22:00,1
2019-06-11 15:56:00,1
2019-06-11 16:22:00,1
2019-06-11 18:04:00,1
2019-06-11 18:09:00,1
2019-06-11 18:17:00,1
2019-06-11 18:19:00,1
2019-06-11 18:26:00,1
2019-06-11 18:30:00,1
2019-06-11 18:43:00,1
2019-06-11 18:46:00,1
