345,select * from fDocFunctionParams(&&&)
2019-01-24 00:23:00,1
2019-01-24 00:24:00,1
2019-01-24 00:27:00,1
2019-01-24 00:55:00,1
2019-01-24 01:50:00,1
2019-01-24 02:38:00,1
2019-01-24 02:40:00,1
2019-01-24 03:46:00,5
2019-01-24 03:47:00,5
2019-01-24 03:48:00,1
2019-01-24 03:59:00,1
2019-01-24 04:10:00,1
2019-01-24 04:13:00,5
2019-01-24 04:14:00,5
2019-01-24 04:15:00,2
2019-01-24 06:50:00,1
2019-01-24 08:54:00,2
2019-01-24 08:55:00,6
2019-01-24 08:57:00,4
2019-01-24 10:08:00,1
2019-01-24 10:55:00,1
2019-01-24 12:22:00,2
2019-01-24 12:23:00,6
2019-01-24 12:24:00,4
2019-01-24 13:00:00,7
2019-01-24 13:01:00,5
2019-01-24 13:02:00,1
2019-01-24 13:03:00,8
2019-01-24 13:11:00,1
2019-01-24 13:27:00,1
2019-01-24 13:38:00,1
2019-01-24 14:50:00,1
2019-01-24 15:24:00,1
2019-01-24 15:33:00,2
2019-01-24 15:35:00,2
2019-01-24 17:16:00,1
2019-01-24 17:17:00,3
2019-01-24 17:18:00,3
2019-01-24 17:19:00,1
2019-01-24 17:20:00,1
2019-01-24 17:21:00,5
2019-01-24 17:22:00,1
2019-01-24 17:23:00,6
2019-01-24 17:24:00,1
2019-01-24 17:50:00,1
2019-01-24 17:56:00,2
2019-01-24 17:57:00,8
2019-01-24 17:58:00,9
2019-01-24 17:59:00,8
2019-01-24 18:00:00,9
2019-01-24 18:01:00,8
2019-01-24 18:02:00,10
2019-01-24 18:03:00,9
2019-01-24 18:04:00,12
2019-01-24 18:05:00,9
2019-01-24 18:06:00,13
2019-01-24 18:07:00,10
2019-01-24 18:08:00,10
2019-01-24 18:09:00,11
2019-01-24 18:10:00,9
2019-01-24 18:11:00,12
2019-01-24 18:12:00,14
2019-01-24 18:13:00,9
2019-01-24 18:14:00,12
2019-01-24 18:15:00,10
2019-01-24 18:16:00,7
2019-01-24 18:17:00,14
2019-01-24 18:18:00,9
2019-01-24 18:19:00,6
2019-01-24 19:39:00,1
2019-01-24 21:24:00,1
2019-01-24 22:08:00,1
