29,select fieldid from field where medianfibercolor_z between # and #
2019-01-24 13:54:00,2
2019-01-24 14:53:00,5
2019-01-24 15:27:00,2
2019-01-24 16:15:00,3
2019-01-24 17:30:00,2
2019-01-24 18:23:00,6
2019-01-24 18:56:00,3
2019-01-24 19:45:00,2
2019-01-24 22:38:00,2
2019-01-24 23:27:00,1
2019-01-24 23:28:00,1
