377,select fieldid from field where cccol_u between # and -.# and skyframes_r between # and #
2019-01-24 13:36:00,7
2019-01-24 13:37:00,8
2019-01-24 15:05:00,4
2019-01-24 16:37:00,7
2019-01-24 17:12:00,6
2019-01-24 17:13:00,12
2019-01-24 18:34:00,6
2019-01-24 20:06:00,3
2019-01-24 20:22:00,11
2019-01-24 20:23:00,10
2019-01-24 20:24:00,14
2019-01-24 20:25:00,50
2019-01-24 20:26:00,93
2019-01-24 20:27:00,2
2019-01-24 21:13:00,1
2019-01-24 21:26:00,20
2019-01-24 21:27:00,24
2019-01-24 21:34:00,1
2019-01-24 21:43:00,6
2019-01-24 22:02:00,2
2019-01-24 22:03:00,3
2019-01-24 23:24:00,1
2019-01-24 23:29:00,2
2019-01-24 23:35:00,66
2019-01-24 23:41:00,4
2019-01-24 23:59:00,14
