12,"SELECT DISTINCT p.ra, p.dec, p.type, p.obj FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-01-24 18:13:00,1
2019-01-24 18:15:00,1
2019-01-24 18:16:00,2
2019-01-24 18:20:00,1
2019-01-24 18:22:00,1
2019-01-24 18:24:00,1
2019-01-24 18:26:00,2
2019-01-24 18:27:00,2
2019-01-24 18:39:00,1
