114,select fieldid from field where nprof_g between # and # and psfbeta_g between # and #
2019-01-24 13:45:00,3
2019-01-24 13:55:00,1
2019-01-24 14:18:00,1
2019-01-24 14:21:00,6
2019-01-24 14:33:00,1
2019-01-24 15:00:00,1
2019-01-24 15:02:00,2
2019-01-24 15:21:00,1
2019-01-24 15:36:00,5
2019-01-24 15:39:00,1
2019-01-24 15:40:00,3
2019-01-24 15:41:00,2
2019-01-24 17:21:00,2
2019-01-24 17:30:00,1
2019-01-24 17:48:00,1
2019-01-24 17:51:00,5
2019-01-24 18:03:00,3
2019-01-24 18:29:00,1
2019-01-24 18:31:00,2
2019-01-24 18:50:00,1
2019-01-24 19:05:00,1
2019-01-24 19:06:00,3
2019-01-24 19:08:00,2
2019-01-24 19:10:00,8
2019-01-24 20:37:00,2
2019-01-24 21:05:00,2
2019-01-24 21:12:00,1
2019-01-24 21:40:00,6
2019-01-24 22:25:00,2
2019-01-24 22:33:00,6
2019-01-24 22:37:00,1
2019-01-24 23:25:00,5
2019-01-24 23:29:00,32
